NAME,TD11_14,TD15_18,TD19_21,TOTAL_TD
Tom Brady,131,125,107,363
Aaron Rodgers,139,112,111,362
Drew Brees,161,124,51,336
Matthew Stafford,112,106,86,304
Matt Ryan,115,114,72,301
Russell Wilson,72,124,96,292
Philip Rivers,116,122,47,285
Ben Roethlisberger,107,112,55,274
Andy Dalton,99,89,38,226
Kirk Cousins,18,111,94,223
Eli Manning,103,101,6,210
Ryan Tannehill,63,60,76,199
Cam Newton,82,100,12,194
Ryan Fitzpatrick,79,67,33,179
Derek Carr,0,101,71,172
Andrew Luck,86,85,0,171
Joe Flacco,88,64,15,167
Alex Smith,71,71,6,148
Dak Prescott,0,67,76,143
Peyton Manning,131,9,0,140
Carson Palmer,70,70,0,140
Carson Wentz,0,70,70,140
Jameis Winston,0,88,47,135
Tony Romo,124,5,0,129
Jared Goff,0,65,61,126
Jay Cutler,79,44,0,123
Patrick Mahomes,0,0,101,101
Josh Allen,0,0,93,93
Blake Bortles,0,92,0,92
Sam Bradford,41,44,0,85
Lamar Jackson,0,0,78,78
Deshaun Watson,0,19,59,78
Marcus Mariota,0,69,8,77
Case Keenum,9,53,14,76
Kyler Murray,0,0,70,70
Jimmy Garoppolo,0,16,54,70
Justin Herbert,0,0,69,69
Baker Mayfield,0,0,65,65
Josh McCown,26,37,0,63
Tyrod Taylor,0,53,6,59
Mark Sanchez,53,4,0,57
Teddy Bridgewater,0,15,42,57
Colin Kaepernick,50,6,0,56
Matt Schaub,47,3,3,53
Brian Hoyer,18,29,5,52
Blaine Gabbert,23,25,2,50
Joe Burrow,0,0,47,47
Daniel Jones,0,0,45,45
Gardner Minshew II,0,0,41,41
Trevor Siemian,0,30,11,41
Robert Griffin III,40,0,1,40
Michael Vick,38,2,0,40
Mitchell Trubisky,0,7,33,40
Christian Ponder,38,0,0,38
Matt Cassel,30,8,0,38
Sam Darnold,0,0,37,37
Mike Glennon,19,6,12,37
Brock Osweiler,1,36,0,37
Matt Hasselbeck,27,9,0,36
Jacoby Brissett,0,13,23,36
Nick Foles,27,22,14,36
Chad Henne,31,0,2,33
Matt Moore,17,12,4,33
Brandon Weeden,26,5,0,31
Kyle Orton,30,0,0,30
Josh Freeman,29,1,0,30
Jake Locker,27,0,0,27
Tua Tagovailoa,0,0,27,27
Colt McCoy,19,4,4,27
Drew Lock,0,0,25,25
Kyle Allen,0,0,22,22
Jalen Hurts,0,0,22,22
Taylor Heinicke,0,0,21,21
Geno Smith,12,4,5,21
Jason Campbell,19,0,0,19
Rex Grossman,16,0,0,16
Mason Rudolph,0,0,16,16
Tarvaris Jackson,15,0,0,15
EJ Manuel,11,4,0,15
Matt Flynn,14,0,0,14
Nick Mullens,0,0,13,13
Tim Tebow,12,0,0,12
Dwayne Haskins,0,0,12,12
John Skelton,11,0,0,11
Kellen Clemens,10,1,0,11
Shaun Hill,10,0,0,10
Brandon Allen,0,0,10,10
Matt McGloin,8,2,0,10
C.J. Beathard,0,4,6,10
Kevin Kolb,9,0,0,9
Terrelle Pryor,9,0,0,9
Brett Hundley,0,9,0,9
Charlie Whitehurst,8,0,0,8
Taysom Hill,0,0,8,8
Chase Daniel,1,3,4,8
Jeff Driskel,0,0,7,7
Dan Orlovsky,6,1,0,7
T.J. Yates,0,7,0,7
Curtis Painter,6,0,0,6
A.J. McCarron,0,6,0,6
Thaddeus Lewis,5,0,0,5
Devlin Hodges,0,0,5,5
Donovan McNabb,4,0,0,4
Vince Young,4,0,0,4
David Blough,0,0,4,4
Caleb Hanie,3,0,0,3
Joe Webb,3,0,0,3
Tim Boyle,0,0,3,3
Tyler Huntley,0,0,3,3
Ryan Finley,0,0,3,3
Mohamed Sanu,2,1,0,3
John Beck,2,0,0,2
Tyler Palko,2,0,0,2
Seneca Wallace,2,0,0,2
Kerry Collins,2,0,0,2
Jake Luton,0,0,2,2
P.J. Walker,0,0,2,2
Brett Rypien,0,0,2,2
Jarrett Stidham,0,0,2,2
Jakobi Meyers,0,0,2,2
Scott Tolzien,1,1,0,2
Danny Amendola,0,1,1,2
Nathan Peterman,0,2,0,2
A.J. Feeley,1,0,0,1
Josh Johnson,1,0,0,1
Jake Delhomme,1,0,0,1
Stephen McGee,1,0,0,1
Bruce Gradkowski,1,0,0,1
Jon Kitna,1,0,0,1
Richard Bartel,1,0,0,1
Matt Leinart,1,0,0,1
Brandon Banks,1,0,0,1
Shane Lechler,1,0,0,1
David Akers,1,0,0,1
Ray Rice,1,0,0,1
Jeff Tuel,1,0,0,1
Matt Simms,1,0,0,1
Ace Sanders,1,0,0,1
Darren McFadden,1,0,0,1
Antonio Brown,1,0,0,1
Spencer Lanning,1,0,0,1
Maurice Jones-Drew,1,0,0,1
Mike James,1,0,0,1
Johnny Hekker,1,0,0,1
Josh Rosen,0,0,1,1
Sean Mannion,0,0,1,1
Julian Edelman,0,0,1,1
Emmanuel Sanders,0,0,1,1
John Brown,0,0,1,1
DeAndre Hopkins,0,0,1,1
Matt Haack,0,0,1,1
Garrett Gilbert,0,0,1,1
Matt Barkley,0,0,1,1
Chris Streveler,0,0,1,1
Trace McSorley,0,0,1,1
Jarvis Landry,0,0,1,1
Jamison Crowder,0,0,1,1
Russell Gage,0,0,1,1
Cedrick Wilson Jr.,0,0,1,1
Cole Beasley,0,0,1,1
Isaiah McKenzie,0,0,1,1
Larry Fitzgerald,0,1,0,1
Alex Tanney,0,1,0,1
Luke McCown,0,0,0,0
Charlie Batch,0,0,0,0
Chris Redman,0,0,0,0
Kyle Boller,0,0,0,0
Mike Kafka,0,0,0,0
J.P. Losman,0,0,0,0
Sidney Rice,0,0,0,0
Jeremy Kerley,0,0,0,0
Daniel Sepulveda,0,0,0,0
Mark Brunell,0,0,0,0
Legedu Naanee,0,0,0,0
Tyler Thigpen,0,0,0,0
Armanti Edwards,0,0,0,0
Tom Brandstater,0,0,0,0
Randall Cobb,0,0,0,0
Britton Colquitt,0,0,0,0
Eric Decker,0,0,0,0
Matt Forte,0,0,0,0
Chas Henry,0,0,0,0
Brandon Lloyd,0,0,0,0
Marshawn Lynch,0,0,0,0
Jerious Norwood,0,0,0,0
Adam Podlesh,0,0,0,0
Bernard Scott,0,0,0,0
Brad Smith,0,0,0,0
Micheal Spurlock,0,0,0,0
Demaryius Thomas,0,0,0,0
Josh Cribbs,0,0,0,0
Dominique Davis,0,0,0,0
Mat McBriar,0,0,0,0
Bilal Powell,0,0,0,0
Marcel Reece,0,0,0,0
Patrick Peterson,0,0,0,0
Tavon Austin,0,0,0,0
Josh Bush,0,0,0,0
Michael Koenen,0,0,0,0
Bobby Rainey,0,0,0,0
Denard Robinson,0,0,0,0
Shann Schillinger,0,0,0,0
Luke Falk,0,0,0,0
Will Grier,0,0,0,0
Courtland Sutton,0,0,0,0
Jaylen Samuels,0,0,0,0
James White,0,0,0,0
Alex Erickson,0,0,0,0
Andy Lee,0,0,0,0
Odell Beckham Jr.,0,0,0,0
Albert Wilson,0,0,0,0
Ryan Griffin,0,0,0,0
Logan Cooke,0,0,0,0
Dante Pettis,0,0,0,0
Alvin Kamara,0,0,0,0
Michael Palardy,0,0,0,0
Kelvin Harmon,0,0,0,0
Brett Kern,0,0,0,0
Andrew Beck,0,0,0,0
Kenjon Barner,0,0,0,0
Dustin Colquitt,0,0,0,0
Stefon Diggs,0,0,0,0
Jake Elliott,0,0,0,0
Josh Gordon,0,0,0,0
Cooper Kupp,0,0,0,0
Christian McCaffrey,0,0,0,0
Zach Pascal,0,0,0,0
Steven Sims,0,0,0,0
Sam Koch,0,0,0,0
John Wolford,0,0,0,0
Ben DiNucci,0,0,0,0
Lynn Bowden Jr.,0,0,0,0
Nate Sudfeld,0,0,0,0
Zay Jones,0,0,0,0
Joseph Charlton,0,0,0,0
Logan Thomas,0,0,0,0
Tyler Bray,0,0,0,0
Golden Tate,0,0,0,0
Tyler Boyd,0,0,0,0
Greg Ward,0,0,0,0
Kendall Hinton,0,0,0,0
Jaquan Johnson,0,0,0,0
Tommy Townsend,0,0,0,0
Logan Woodside,0,0,0,0
Travis Kelce,0,0,0,0
Easton Stick,0,0,0,0
Joshua Dobbs,0,0,0,0
Jamal Agnew,0,0,0,0
Keenan Allen,0,0,0,0
Riley Dixon,0,0,0,0
Chris Jones,0,0,0,0
D.J. Moore,0,0,0,0
Sammy Watkins,0,0,0,0
Isaiah Wright,0,0,0,0
